index,phase,pattern,scene_title,scene_title_sub,scene_desc,characters,concepts_new,concept_prereqs,key_terms_new,key_term_defs,reference_type,reference_topic,review_concepts,review_terms,review_source,narrative_subplot,notes
53,2,B,The Vendor Landscape,Evaluating options,"Ren and Hina evaluate three vendors for the XR component. Each has strengths and risks. The decision matrix reveals that the cheapest option is also the riskiest.","Ren,Hina",,,"procurement management plan,make-or-buy analysis,vendor evaluation,request for proposal (RFP),contract type","A document describing how procurement processes will be managed|An assessment comparing the cost and benefits of producing internally versus purchasing externally|A systematic assessment of potential vendors against defined criteria|A formal document soliciting proposals from potential vendors|The legal agreement structure defining payment terms and risk allocation",vendor_proposal,XR Rendering Engine — Vendor Comparison Matrix,,,,"Hina creates a vendor evaluation spreadsheet that's better than anything Ren could have made. She's growing fast.",Procurement vocabulary through practical evaluation
54,2,C,Signing the Deal,Contract negotiation and management,"Ren negotiates with the selected vendor while Saki ensures Kurosawa Digital's procurement requirements are met. The contract discussions reveal hidden assumptions.","Ren,Saki,Tetsu",,"52,53","fixed-price contract,time-and-materials contract,statement of work (SOW),service level agreement (SLA),penalty clause","A contract where the vendor is paid a set amount regardless of actual cost|A contract where the vendor is paid based on time spent and materials used|A document defining the specific work to be performed by the vendor|A commitment defining the expected level of service quality and availability|A contractual provision imposing financial consequences for failing to meet terms",,,Procurement & vendor management;Risk identification & response planning,"vendor evaluation,RFP,risk register,risk response strategy","38,52,53","Saki negotiates a better SLA clause. Ren watches her work and thinks: 'She's magnificent.' He does not say this out loud.",Review procurement and risk through contract negotiation
55,2,A,The Midpoint Mirror,Halfway through — are we who we need to be?,"The project hits its midpoint. Ren calls an all-hands retrospective to assess not just the project but the team's growth. The conversation gets unexpectedly honest.","Ren,Saki,Tetsu,Hina",Continuous improvement & retrospectives,"17,30",,,,,,,,,"Tetsu says he finally feels like part of a team, not just a resource. Hina tears up. Saki and Ren share a look that says more than words.",Midpoint reflection — continuous improvement as practice
56,2,B,The Improvement Engine,Making retrospectives actually work,"Hina documents the team's retrospective evolution: from awkward silence to genuine feedback loops. The key was psychological safety and follow-through on action items.","Ren,Hina",,,"continuous improvement,Kaizen,Plan-Do-Check-Act (PDCA),feedback culture,psychological safety","An ongoing effort to improve products services or processes incrementally|A Japanese philosophy of continuous small improvements|A four-step cycle for iterative improvement: plan the change do it check results act on what you learn|An environment where giving and receiving constructive feedback is normalized|A belief that one will not be punished for speaking up with ideas questions or mistakes",retrospective_notes,Retrospective Evolution — Pulse Works Q1 to Q2,,,,"Hina writes about psychological safety and notes that Ren created it 'by being willing to be wrong out loud.' He's embarrassed but touched.",Continuous improvement vocabulary
57,2,C,The Improvement Cycle,Applying PDCA to a real problem,"The team uses a formal PDCA cycle to address a recurring integration bug. The structured approach finds the root cause faster than their usual firefighting.","Ren,Tetsu,Hina",,"55,56","PDCA cycle,root cause analysis,corrective action,preventive action,process audit","The iterative Plan-Do-Check-Act cycle applied to a specific improvement initiative|A systematic method for identifying the fundamental cause of a problem|An action taken to eliminate the cause of a detected nonconformity|An action taken to eliminate the cause of a potential nonconformity|A systematic examination of a process against defined standards",,,Continuous improvement & retrospectives;Theory of Constraints & bottleneck management,"continuous improvement,PDCA,constraint,exploitation","31,33,55","Tetsu solves the bug using PDCA and says 'I can't believe a framework actually helped.' Ren and Saki high-five. Their hands linger a moment too long.",Review continuous improvement and ToC
58,2,A,The Pipeline Problem,Why deployments keep failing,"Tetsu identifies that the deployment process is manual, error-prone, and dependent on tribal knowledge. He proposes automating the pipeline. The team debates the investment.","Ren,Tetsu,Saki",DevOps & deployment pipelines,"13,14,55",,,,,,,,,"Tetsu presents his pipeline proposal with quiet conviction. Ren backs him publicly. Saki adds budget justification. They're a real team now.",Introduce DevOps concepts from Phoenix Project
59,2,B,The DevOps Way,Automating the path to production,"The team begins building a deployment pipeline. Tetsu leads the technical work while Ren manages the organizational change. The improvement is immediate and measurable.","Ren,Tetsu",,,"DevOps,deployment pipeline,continuous integration,continuous deployment,infrastructure as code","A set of practices combining software development and IT operations to shorten delivery cycles|An automated process moving code from development through testing to production|The practice of merging code changes frequently with automated build and test|Automatically releasing tested code changes to production|Managing infrastructure through machine-readable configuration files rather than manual processes",kanban_board,Deployment Pipeline — Before and After,,,,"Tetsu is energized by the pipeline work — it's the first time Ren has seen him genuinely excited about a project task.",DevOps vocabulary from Phoenix Project
60,2,C,Phase Two Complete,The team has leveled up,"End of Phase 2. Major retrospective covering months 4–6. The EVM numbers are improving. The team has survived scope creep, vendor onboarding, and a quality crisis. They're different people now.","Ren,Saki,Tetsu,Hina,Director Kudo",,"49,55,58","phase gate review,maturity assessment,team velocity,capacity planning","A formal evaluation at the end of a phase to decide whether to proceed|An evaluation of a team or organization's process maturity level|A measure of the amount of work a team completes in a given iteration|The process of determining the production capacity needed to meet changing demands",,,Agile & hybrid approaches;Earned value management (EVM);DevOps & deployment pipelines,"sprint,SPI,CPI,deployment pipeline","45,50,58","Phase 2 celebration dinner. Saki gives a toast acknowledging both teams. She looks at Ren when she says 'partnership.' Director Kudo notices. Hina takes another photo.",Phase 2 capstone — review and transition
61,3,A,The Political Storm,When the project becomes a pawn,"Phase 3. Kurosawa Digital's board questions the XR investment. Director Kudo faces internal pressure and starts positioning the project as 'his initiative' — rewriting history.","Ren,Saki,Director Kudo",Organizational change management,"27,55",,,,,,,,,"Saki confides in Ren about the board politics. It's the first time she's been vulnerable about work. He listens without trying to fix it.",Phase 3 opener — political threats escalate
62,3,B,The Change Curve,Why organizations resist,"Ren researches organizational change management after seeing the political resistance firsthand. The patterns are textbook — but knowing the theory doesn't make it easier.","Ren,Hina",,,"organizational change,change resistance,change curve,change agent,stakeholder buy-in","The process of transitioning individuals teams and organizations to a desired future state|Opposition to proposed changes arising from fear uncertainty or perceived loss|A model describing the emotional stages people experience during change|A person who facilitates and drives organizational change|The commitment and support of stakeholders for a project or initiative",stakeholder_email,Board Member's Email Questioning XR Investment,,,,"Hina asks Ren if he's worried about the project. He says no. She doesn't believe him. Neither does he.",Organizational change management vocabulary
63,3,C,Building the Coalition,Winning hearts and minds,"Ren and Saki build a coalition of supporters across Kurosawa Digital. They identify change champions, address resisters' concerns, and create a communication campaign.","Ren,Saki,Director Kudo",,"61,62","change champion,coalition building,resistance management,communication campaign,vision statement","An influential person who actively promotes and supports a change initiative|The practice of assembling a group of supporters to drive change forward|Strategies for addressing and reducing opposition to change|A planned series of messages designed to build awareness and support|A clear and compelling description of the desired future state",,,Organizational change management;Communications management,"change resistance,change agent,RAG status,executive summary","27,61,62","Ren and Saki stay late writing the vision statement together. The office is empty. The moment is intimate but neither crosses the line. Yet.",Review org change and communications
64,3,A,The Vendor Crisis,When your supplier disappears,"The XR component vendor misses a critical delivery date. Their lead engineer has left. The team must decide: wait, switch vendors, or build in-house.","Ren,Saki,Tetsu",,"37,52",,,,,,,,,"Saki stays calm when Ren panics. 'We planned for this,' she says, pulling up the risk register. He realizes how much he relies on her.",Vendor crisis as a practical PM challenge
65,3,B,The Procurement Pivot,Emergency vendor management,"Ren invokes the contract's penalty clause while simultaneously evaluating backup vendors. The procurement pivot tests everything the team has learned about risk and change.","Ren,Hina",,,"contract termination,penalty enforcement,vendor transition plan,emergency procurement,sole source justification","The formal process of ending a contractual relationship|Executing contractual consequences when a vendor fails to meet agreed terms|A structured approach to transferring work from one vendor to another|An accelerated procurement process used when standard timelines cannot be met|Documentation explaining why only one vendor can fulfill a requirement",vendor_proposal,Emergency Vendor Assessment — XR Rendering Engine,,,,"Hina manages the vendor evaluation independently for the first time. Ren realizes she could run her own project now.",Procurement crisis management
66,3,C,Recovery Mode,Rebuilding after the vendor failure,"The team absorbs the vendor failure and restructures the plan. Tetsu takes on additional development work — but this time, with proper WIP limits and support.","Ren,Saki,Tetsu,Hina",,"64,65","recovery plan,fast-tracking,crashing,resource leveling,schedule compression","A detailed plan for bringing a troubled project back on track|Performing sequential activities in parallel to reduce duration|Adding resources to critical path activities to reduce duration|Adjusting activities to balance resource demand with availability|Shortening the project schedule without reducing scope",,,Procurement & vendor management;Risk identification & response planning;Theory of Constraints & bottleneck management,"penalty clause,SLA,risk trigger,bottleneck indicator","33,39,54","Tetsu accepts the extra work but sets boundaries. Ren supports him. Saki tells Ren privately: 'You've become a really good PM.' His heart rate spikes.",Review procurement, risk, and ToC through crisis recovery
67,3,A,The Integration Challenge,Bringing all the pieces together,"Multiple workstreams must converge for the XR platform integration. Dependencies are everywhere. Ren must orchestrate the most complex phase of the project.","Ren,Tetsu,Saki",,"6,9,31",,,,,,,,,"Ren and Saki co-lead the integration planning session. They've developed a shorthand — finishing each other's sentences, sharing glances that say 'I've got this part.' The team notices.",Complex integration as an advanced PM challenge
68,3,B,The Integration Playbook,Orchestrating convergence,"Ren creates a detailed integration plan that maps all dependencies, buffers, and rollback procedures. It's the most sophisticated PM artifact he's ever produced.","Ren,Hina",,,"integration management,dependency mapping,interface management,rollback procedure,system testing","The coordination of all project elements to ensure they work together|A visual representation of how activities and deliverables depend on each other|Managing the connections and interactions between different system components|A predefined process for reverting changes if integration fails|End-to-end testing of the complete integrated system against requirements",scope_document,XR Platform Integration Plan v1.0,,,,"Hina reviews the plan and says 'This reads like something Saki would write.' Ren takes it as the highest compliment.",Integration management vocabulary
69,3,C,The Integration Test,Moment of truth,"Integration testing begins. Some components work perfectly; others fail spectacularly. The team learns more in one week of integration than in two months of development.","Ren,Saki,Tetsu",,"67,68","integration testing,regression testing,defect triage,test coverage,acceptance testing","Testing performed to verify that combined components function correctly together|Testing to ensure that new changes haven't broken existing functionality|The process of evaluating and prioritizing defects for resolution|The extent to which testing exercises the system's functionality|Formal testing conducted to determine whether a system meets acceptance criteria",,,Organizational change management;Earned value management (EVM);DevOps & deployment pipelines,"change agent,coalition building,EAC,continuous integration","51,63,68","During a late-night integration session, Ren falls asleep at his desk. Saki puts her jacket over his shoulders. Tetsu sees. He says nothing.",Review org change, EVM, and DevOps through integration
70,3,A,The Burnout Warning,When the team hits the wall,"Three team members show signs of burnout. Ren recognizes the symptoms because he's feeling them too. He must balance delivery pressure with team health.","Ren,Saki,Tetsu,Hina",,"10,15,55",,,,,,,,,"Saki notices Ren's exhaustion before he admits it. She insists he take a day off. He resists. She says: 'Trust me. I'll cover for you.' He does.",Team health as a PM responsibility
71,3,B,Sustainable Pace,Balancing delivery with well-being,"The team establishes sustainable work practices: enforced breaks, no-meeting blocks, capacity buffers. The initial productivity dip leads to a sustained improvement.","Ren,Hina",,,"sustainable pace,team morale,resource utilization,burnout indicators,team health metrics","A work rate that can be maintained indefinitely without degrading quality or team health|The collective emotional state and enthusiasm of the team|The percentage of available time a resource spends on productive work|Signs that a team member is approaching or experiencing burnout|Quantitative measures of team satisfaction engagement and workload",retrospective_notes,Team Health Check — Month 7 Retrospective,,,,"Hina organizes a team outing. Ren and Saki end up sitting together on the train home. Their shoulders touch. Neither moves away.",Sustainable pace as a mature PM concept
72,3,C,The Human Element,People over process,"A team member submits their resignation. Ren must handle the departure while maintaining project momentum. The experience teaches that PM is ultimately about people.","Ren,Tetsu,Hina",,"70,71","attrition,knowledge retention,transition plan,team dynamics,motivation theory","The gradual reduction of team members through resignation or reassignment|Strategies for preserving critical knowledge when team members leave|A structured approach to transferring responsibilities during personnel changes|The behavioral relationships and interactions between team members|Frameworks for understanding what drives people to perform",,,Continuous improvement & retrospectives;WIP limits;Resource planning & estimation,"retrospective,PDCA,WIP limit,capacity planning","55,57,60","Ren handles the departure with empathy and professionalism. Saki watches and thinks: 'He's changed so much since we met.' She doesn't say it. Not yet.",Review CI, WIP, and resource planning through a people challenge
73,3,A,The Executive Presentation,Selling the project's future,"Ren and Saki present to Kurosawa Digital's full executive board. The stakes are existential: if the board doesn't approve Phase 3 funding, the project dies.","Ren,Saki,Director Kudo",Benefits realization & project closure,"19,27,49",,,,,,,,,"The night before, Ren admits to Saki he's terrified. She admits she is too. They practice until midnight. When she leaves, she turns back to say something — but doesn't.",Highest-stakes presentation — combines all PM skills
74,3,B,Proving Value,Benefits realization in practice,"Ren documents the project's delivered benefits against the original business case. The ROI story is stronger than expected — but only because they measured along the way.","Ren,Hina",,,"benefits realization,ROI,business value,value delivery,success criteria","The process of ensuring that project outcomes deliver the intended business benefits|Return on Investment — the ratio of net benefits to the cost of achieving them|The measurable worth a project delivers to the organization|The ongoing process of producing valuable outcomes throughout the project lifecycle|Predefined measures that define project success",status_report,Benefits Realization Report — XR Platform,,,,"Hina creates a benefits dashboard that impresses even Director Kudo. She's ready for her own projects.",Benefits realization vocabulary
75,3,C,The Green Light,The board says yes — with conditions,"The board approves continued funding but adds conditions: accelerated timeline, additional reporting, and a joint governance committee. The team celebrates cautiously.","Ren,Saki,Director Kudo",,"73,74","governance committee,executive sponsor,portfolio review,stage gate approval,conditional approval","A group of senior stakeholders providing oversight and strategic direction|A senior leader who provides political support and resources for the project|An evaluation of all active projects to ensure alignment with organizational strategy|Formal authorization to proceed to the next project phase|Approval granted with specific conditions that must be met",,,Benefits realization & project closure;Change control & integrated change management;Organizational change management,"ROI,success criteria,CCB,change champion","36,62,73","After the board meeting, Ren and Saki celebrate at a quiet izakaya. For the first time, they're not pretending it's a work dinner. Neither says what this means.",Review benefits, change control, and org change
76,3,A,The Acceleration,Compressing the timeline,"The board's accelerated timeline means the team must deliver in 8 weeks what was planned for 12. Ren must choose between fast-tracking and crashing — both have costs.","Ren,Saki,Tetsu",,"9,66",,,,,,,,,"Ren and Saki disagree about the approach. The argument is their worst since Phase 1 — but this time it hurts differently because they care about each other.",Schedule compression under real pressure
77,3,B,The Final Sprint Plan,Structuring the endgame,"Ren creates a detailed sprint plan for the final push. Every day is accounted for. Every risk has a mitigation. It's the best plan he's ever written — and he knows it might not survive contact with reality.","Ren,Hina",,,"sprint backlog,velocity forecasting,burndown chart,definition of done,release plan","The set of work items selected for completion during a sprint|Using historical velocity data to predict future sprint capacity|A chart showing remaining work versus time in a sprint or release|A shared understanding of what it means for work to be complete|A schedule mapping features and deliverables to target release dates",kanban_board,Final Sprint Board — 8-Week Accelerated Timeline,,,,"Hina reviews the plan and says 'You've grown a lot.' Ren realizes she has too. He tells her she's ready to be a PM — not a coordinator.",Final sprint planning vocabulary
78,3,C,The Pipeline Pays Off,DevOps as a competitive advantage,"The automated deployment pipeline Tetsu built proves its worth: the team ships three major updates in one week without a single deployment failure. The investment has paid off.","Ren,Tetsu,Saki",,"58,59","deployment frequency,mean time to recovery (MTTR),change failure rate,deployment automation,zero-downtime deployment","How often code is successfully deployed to production|The average time to restore service after a deployment failure|The percentage of deployments causing degraded service|Using tools to perform deployments without manual intervention|Deploying updates without interrupting service availability",,,DevOps & deployment pipelines;Kanban & visual management;Agile & hybrid approaches,"continuous integration,deployment pipeline,Kanban board,sprint","46,59,60","Tetsu grins — actually grins — when the third deployment succeeds. Ren has never seen him this happy. The team cheers.",Review DevOps, Kanban, and agile through achievement
79,3,A,The Stakeholder Rebellion,When allies turn,"A Kurosawa Digital department head who was previously supportive suddenly opposes the XR platform. Internal politics threaten to derail the final phase.","Ren,Saki,Director Kudo",,"3,27,61",,,,,,,,,"Saki navigates the political crisis with skill Ren couldn't have imagined. He realizes he's not just impressed by her — he's in awe.",Advanced stakeholder management under political pressure
80,3,B,Portfolio Thinking,Seeing the bigger picture,"Director Kudo reveals that the XR project is one of five competing for next year's budget. Ren must position his project within the portfolio context.","Ren,Director Kudo",,,"portfolio management,program management,strategic alignment,resource competition,organizational priorities","Managing a collection of projects to achieve strategic business objectives|Coordinating related projects to achieve benefits not available from managing them individually|Ensuring project objectives support the organization's strategic goals|When multiple projects compete for the same limited resources|The ranked business objectives that guide investment and resource decisions",stakeholder_email,Director Kudo's confidential email about portfolio priorities,,,,"Director Kudo confides in Ren for the first time — a sign of respect. He warns that Saki's position at Kurosawa is also tied to this project's success.",Portfolio and program management vocabulary
81,3,C,The Strategic Move,Positioning the project for survival,"Ren and Saki craft a strategic narrative positioning the XR platform as essential to Kurosawa Digital's five-year plan. They present it to the governance committee.","Ren,Saki,Director Kudo",Portfolio & program alignment,"73,80","strategic business case,portfolio optimization,benefit-cost ratio,opportunity cost,strategic initiative","A document linking project outcomes to organizational strategy|Balancing the project portfolio to maximize value and minimize risk|A comparison of expected benefits to expected costs for investment decisions|The value of the next best alternative forgone when making a choice|A high-priority project directly supporting organizational strategic objectives",,,Portfolio & program alignment;Benefits realization & project closure;Organizational change management,"portfolio management,strategic alignment,ROI,change curve","62,74,80","Ren and Saki write the strategic narrative together. It's late. She falls asleep at the desk. He covers her with his jacket — returning her gesture from unit 69. She wakes up and sees. The moment hangs between them.",Review portfolio, benefits, and org change
82,3,A,The Final Risk,A threat nobody anticipated,"A cybersecurity audit reveals a vulnerability in the XR platform that could delay launch. The team has two weeks to fix it or the project fails compliance review.","Ren,Saki,Tetsu",,"37,39,58",,,,,,,,,"The pressure brings out the best in the team. Ren leads calmly. Saki handles the compliance stakeholders. Tetsu fixes the vulnerability. Hina coordinates communications.",Unexpected risk as the ultimate PM test
83,3,B,Closing the Loop,Project closure done right,"As the project enters its final weeks, Ren begins the formal closure process. Lessons learned, knowledge transfer, and stakeholder sign-off all need to happen simultaneously.","Ren,Hina",,,"project closure,administrative closure,formal acceptance,final report,knowledge repository","The formal process of completing and finalizing all project activities|Completing all administrative tasks associated with project completion|Official stakeholder sign-off confirming deliverables meet requirements|A comprehensive document summarizing the project's performance and outcomes|A centralized location for storing project documentation and lessons learned",lessons_learned_log,Project Doki Doki — Lessons Learned Log,,,,"Hina asks Ren what happens after the project ends — meaning between him and Saki. He doesn't answer. She doesn't push.",Project closure vocabulary
84,3,C,The Dress Rehearsal,Final integration and user acceptance,"Full user acceptance testing with Kurosawa Digital's end users. Most features pass; a few need polish. The feedback is overwhelmingly positive.","Ren,Saki,Tetsu,Hina",,"69,73","user acceptance testing (UAT),defect resolution,go-live criteria,operational readiness,cutover plan","Testing performed by end users to validate the system meets their needs|The process of identifying fixing and verifying defects found during testing|Predefined conditions that must be met before a system can launch|Assessment confirming that operations support and infrastructure are prepared for launch|A detailed plan for transitioning from the old system to the new one",,,Quality management;DevOps & deployment pipelines;Procurement & vendor management,"acceptance criteria,quality control,continuous deployment,vendor transition plan","42,65,69","During UAT, a user says the platform is 'better than we imagined.' Saki catches Ren's eye across the room. The pride they share doesn't need words.",Review quality, DevOps, and procurement through final testing
85,3,A,The Confession,When professionalism meets feeling,"The project is two weeks from launch. At a team dinner, Hina asks Ren directly: 'When are you going to tell her?' Ren deflects. But that night, he texts Saki.","Ren,Saki,Hina",,"27,61",,,,,,,,,"Ren's text: 'Can we talk? Not about the project.' Saki's reply takes 47 minutes: 'I was hoping you'd ask.' They meet at the park near the office. The conversation is terrifying and honest. They admit everything.",The confession episode — peak romantic subplot
86,3,B,The Final Status,One last report before launch,"Ren writes the final status report. Every metric tells a story of a project that almost failed multiple times but ultimately succeeded through skill, adaptation, and teamwork.","Ren,Hina",,,"final status report,project performance,lessons learned summary,stakeholder satisfaction,team acknowledgment","The last formal project status update before closure|A comprehensive assessment of how the project performed against its original plan|A distilled set of the most important insights from the project experience|A measure of how well the project met stakeholder expectations and needs|Formal recognition of team members' contributions to project success",status_report,Final Status Report — XR Platform Launch,,,,"Ren writes the team acknowledgment section. When he gets to Saki's name, he pauses. He writes something professional. Then deletes it and writes something real.",Final status report as both PM artifact and emotional milestone
87,3,C,Launch Day,The XR platform goes live,"Launch day. Everything that could go wrong is monitored. The team is nervous but prepared. The platform launches successfully. Kurosawa Digital's executives are delighted.","Ren,Saki,Tetsu,Hina,Director Kudo",,"82,84","go-live,production deployment,monitoring plan,incident response,launch criteria","The moment when a system becomes operational for end users|Releasing the final version of the system to the production environment|A strategy for tracking system performance and identifying issues post-launch|A predefined process for detecting and resolving issues after launch|The complete set of conditions that must be satisfied before launch can proceed",,,Benefits realization & project closure;DevOps & deployment pipelines;Risk identification & response planning,"go-live criteria,operational readiness,deployment frequency,risk trigger","66,78,84","The launch succeeds. In the celebration chaos, Ren and Saki find a quiet moment. 'We did it,' he says. 'We did,' she says. They're standing closer than colleagues do.",Review benefits, DevOps, and risk through the ultimate milestone
88,3,A,The Morning After,What success actually feels like,"The day after launch. The adrenaline fades. The team processes what they've accomplished. Ren realizes the project changed him as much as he changed the project.","Ren,Saki,Tetsu,Hina",,"55,72",,,,,,,,,"Ren and Saki arrive at the office at the same time. They walk in together. Nobody comments because everybody already knows.",Post-launch reflection
89,3,B,The Retrospective to End All Retrospectives,Looking back at 100 units of growth,"The team holds their final retrospective — the most comprehensive one yet. Every phase, every crisis, every lesson gets reviewed.","Ren,Saki,Tetsu,Hina",,,"project retrospective,maturity growth,capability assessment,organizational learning,knowledge legacy","A comprehensive review of the entire project lifecycle for lessons learned|The progression from ad-hoc processes to optimized repeatable systems|An evaluation of what a team or organization can now do that it couldn't before|The process by which an organization improves through experience|The lasting knowledge and practices a project leaves behind for future teams",retrospective_notes,Final Retrospective — Project XR Platform,,,,"Each character reflects on their growth. Tetsu: 'I learned to ask for help.' Hina: 'I learned to trust myself.' Saki: 'I learned that process without people is empty.' Ren: 'I learned from all of you.'",Comprehensive final retrospective
90,3,C,The Handoff,Transitioning to operations,"The project deliverables must be handed off to Kurosawa Digital's operations team. The transition tests whether the documentation and knowledge transfer were sufficient.","Ren,Saki,Tetsu,Hina",,"83,84","operational handoff,support transition,warranty period,service desk,runbook","The formal transfer of project deliverables to the operations or support team|The process of shifting responsibility for the system from the project team to operations|A defined period after launch during which the project team provides enhanced support|A centralized point of contact for users to report issues and request assistance|A documented set of procedures for operating and troubleshooting the system",,,Project closure;Integration management;Continuous improvement & retrospectives,"final report,knowledge repository,integration management,PDCA","57,68,83","Saki manages the Kurosawa side of the handoff. They've become so synchronized that the ops team asks if they've always worked together. 'No,' Saki says. 'It took us a while.'",Review closure, integration, and CI through handoff
91,3,A,The Portfolio Decision,When your project becomes a program,"Director Kudo announces that the XR platform's success has spawned two new projects. Ren is offered the program manager role. The decision isn't simple.","Ren,Director Kudo,Saki",Portfolio & program alignment,"80,81",,,,,,,,,"The program manager role would mean more responsibility — and continued partnership with Saki. Or does he want something different?",Portfolio/program thinking at the individual level
92,3,B,The Program Perspective,From project to program management,"Ren explores what program management means. The shift from managing one project to coordinating multiple related projects requires a different mindset.","Ren,Hina",,,"program charter,benefits mapping,program governance,interdependency management,program roadmap","A document establishing the authority and scope of a program|A visual representation of how program components contribute to strategic benefits|The framework of oversight and decision-making for a program|Managing the connections and dependencies between projects within a program|A high-level timeline showing how program components align over time",scope_document,XR Program Charter — Draft,,,,"Hina says she wants to lead one of the new projects. Ren realizes his mentoring has succeeded — and that letting go is its own kind of growth.",Program management vocabulary
93,3,C,The Bigger Game,Thinking beyond the project,"Ren evaluates the program opportunity against his career goals and values. The analysis parallels how he'd evaluate a project — but the stakes are personal.","Ren,Saki,Director Kudo",,"91,92","career development,professional growth,leadership maturity,strategic thinking,servant leadership","The ongoing process of managing one's professional trajectory|The continuous development of skills knowledge and capabilities|The evolution from task management to people leadership to strategic influence|The ability to see connections between decisions actions and long-term outcomes|A leadership philosophy prioritizing the growth and well-being of team members",,,Portfolio & program alignment;Organizational change management;Benefits realization & project closure,"program management,strategic alignment,change agent,ROI","61,74,81","Saki asks what he's going to decide. He asks what she thinks. She says: 'I think you should do whatever makes you excited to come to work.' She pauses. 'And I hope I'm part of that equation.'",Review portfolio, org change, and benefits through career decision
94,3,A,Hina's First Solo,The mentee becomes the PM,"Hina runs her first project kickoff independently. Ren watches from the back of the room. She's nervous but prepared. She uses everything he taught her — and some things she figured out on her own.","Hina,Ren",,"1,3,7",,,,,,,,,"Ren feels proud and a little emotional watching Hina lead. Saki texts him during the meeting: 'You built that.' He replies: 'She built herself. I just didn't get in the way.'",Hina's growth arc culminates — the Mirror becomes a PM
95,3,B,Tetsu Unplugged,The bottleneck becomes a bridge,"Tetsu's systems documentation and cross-training program have made him replaceable — which, paradoxically, makes him more valuable. He's now a mentor, not a bottleneck.","Tetsu,Ren",,,"knowledge management,mentoring,technical leadership,systems thinking,organizational resilience","The systematic process of creating sharing and applying organizational knowledge|Guiding less experienced team members through advice support and shared experience|The ability to guide technical decisions and develop team capabilities|Understanding how components of a system interrelate and influence each other|An organization's ability to absorb disruption and continue functioning",lessons_learned_log,Tetsu's Systems Documentation Legacy,,,,"Tetsu tells Ren: 'You know what the real bottleneck was? Not me. It was the system that made everything depend on one person. You fixed the system.' Highest praise Ren has ever received.",Tetsu's growth arc culminates — bottleneck resolved systemically
96,3,C,Director Kudo's Revelation,The stakeholder shows his hand,"Director Kudo reveals he was testing both PMs all along — pushing scope, creating pressure, watching how they responded. He's impressed. He offers both of them expanded roles.","Ren,Saki,Director Kudo",,"3,27,61","executive sponsorship,talent development,strategic partnership,organizational investment,leadership pipeline","Active senior leader support providing political cover resources and strategic direction|An organization's commitment to growing the capabilities of its people|A collaborative relationship between organizations that creates mutual strategic value|Committing resources to build long-term organizational capability|The systematic development of future leaders within an organization",,,Stakeholder identification & analysis;Communications management;Portfolio & program alignment,"stakeholder,engagement level,communications management plan,portfolio management","3,27,80","Director Kudo says: 'I knew from the first meeting you two would either destroy each other or be extraordinary together. I bet on extraordinary.' Ren and Saki exchange a look that says everything.",Review stakeholder, communications, and portfolio through revelation
97,3,A,The New Beginning,Setting up for what's next,"Ren accepts the program manager role. He begins planning the next phase with Saki as his counterpart at Kurosawa Digital. The professional partnership is now also personal.","Ren,Saki,Hina",,"81,91",,,,,,,,,"Ren and Saki discuss the new program over dinner at 'their' izakaya. He says: 'Same team?' She says: 'Always.' Under the table, their hands find each other.",New chapter begins — professional and personal
98,3,B,The PM's Toolkit,Everything in one place,"Hina creates a comprehensive PM toolkit based on everything the team has learned. It's her parting gift to the project — a knowledge legacy for future teams.","Hina,Ren",,,"PM toolkit,process template library,organizational process assets,enterprise environmental factors,tailoring","A curated collection of tools templates and practices for project management|A repository of reusable templates for common PM processes|Plans processes policies and knowledge bases specific to the organization|Conditions not under the project team's control that influence the project|Adapting PM processes and practices to fit the specific project context",lessons_learned_log,Hina's PM Toolkit — Table of Contents,,,,"Hina dedicates the toolkit to 'Ren, who taught me that the best PM frameworks are the ones you actually use.'",Final vocabulary — meta-PM concepts
99,3,C,The Last Retrospective,One hundred units of growth,"The final retrospective. Not just for the project — for the journey. Each character reflects on who they were at unit 1 and who they are now.","Ren,Saki,Tetsu,Hina,Director Kudo",,"1,13,25,55,73","growth mindset,professional identity,continuous professional development,reflective practice,mastery","The belief that abilities can be developed through dedication and hard work|The way a professional sees themselves in relation to their role and expertise|The ongoing pursuit of knowledge and skills throughout one's career|The habit of regularly examining one's experiences to improve future performance|Deep comprehensive knowledge and skill in a particular domain",,,Project lifecycle & phases;The Three Ways (flow feedback learning);Benefits realization & project closure,"project,phase,flow,continuous learning,ROI,project closure","1,13,74","Each character shares one thing they'll carry forward. Tetsu: 'Systems over heroes.' Hina: 'Ask the obvious question.' Director Kudo: 'Trust the process — and the people.' Saki: 'Structure is how you show you care.' Ren: 'The best projects change you.'",Penultimate unit — comprehensive character and concept review
